,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
50,39.02,39.31,37.15,37.62,8213200.0,39.31,37.15,37.62,39.02,8372839.0,1.0,0.0,AA,XNYS,2022-10-19T00:00:00+0000
51,40.37,40.56,38.578,39.71,5016222.0,40.58,38.578,39.71,40.37,5082704.0,1.0,0.0,AA,XNYS,2022-10-18T00:00:00+0000
52,39.45,40.29,38.4,39.38,5531000.0,,,39.38,,,1.0,0.0,AA,XNYS,2022-10-17T00:00:00+0000
53,40.94,40.94,37.89,38.35,5605600.0,,,38.35,,,1.0,0.0,AA,XNYS,2022-10-14T00:00:00+0000
54,38.64,40.97,38.3,40.88,7917790.0,,,40.88,,,1.0,0.0,AA,XNYS,2022-10-13T00:00:00+0000
55,37.78,41.11,36.58,39.86,17953775.0,,,39.86,,,1.0,0.0,AA,XNYS,2022-10-12T00:00:00+0000
56,37.86,39.07,37.3,37.85,4885605.0,,,37.85,,,1.0,0.0,AA,XNYS,2022-10-11T00:00:00+0000
57,39.5,40.19,38.462,38.84,5588700.0,,,38.84,,,1.0,0.0,AA,XNYS,2022-10-10T00:00:00+0000
58,39.04,39.355,37.88,39.01,6270400.0,,,39.01,,,1.0,0.0,AA,XNYS,2022-10-07T00:00:00+0000
59,38.93,40.35,38.65,39.85,6652550.0,,,39.85,,,1.0,0.0,AA,XNYS,2022-10-06T00:00:00+0000
60,38.93,40.42,38.31,40.08,7797200.0,,,40.08,,,1.0,0.0,AA,XNYS,2022-10-05T00:00:00+0000
61,39.16,40.39,38.38,40.23,9691300.0,,,40.23,,,1.0,0.0,AA,XNYS,2022-10-04T00:00:00+0000
62,34.35,37.94,34.0,37.39,9727600.0,,,37.39,,,1.0,0.0,AA,XNYS,2022-10-03T00:00:00+0000
63,34.81,35.74,33.55,33.66,9017700.0,,,33.66,,,1.0,0.0,AA,XNYS,2022-09-30T00:00:00+0000
64,37.15,37.55,34.27,35.43,13160083.0,,,35.43,,,1.0,0.0,AA,XNYS,2022-09-29T00:00:00+0000
65,34.68,35.53,33.7,35.23,9860191.0,,,35.23,,,1.0,0.0,AA,XNYS,2022-09-28T00:00:00+0000
66,35.04,35.84,34.4,34.7,7612834.0,,,34.7,,,1.0,0.0,AA,XNYS,2022-09-27T00:00:00+0000
67,35.09,36.02,34.345,34.47,7271400.0,,,34.47,,,1.0,0.0,AA,XNYS,2022-09-26T00:00:00+0000
68,35.9,36.32,35.11,35.51,8163100.0,,,35.51,,,1.0,0.0,AA,XNYS,2022-09-23T00:00:00+0000
69,39.94,40.32,37.48,37.52,9851886.0,,,37.52,,,1.0,0.0,AA,XNYS,2022-09-22T00:00:00+0000
70,43.5,43.86,39.4,39.41,11691223.0,,,39.41,,,1.0,0.0,AA,XNYS,2022-09-21T00:00:00+0000
71,43.58,43.8,42.7,43.53,5022400.0,,,43.53,,,1.0,0.0,AA,XNYS,2022-09-20T00:00:00+0000
72,41.25,45.12,41.0931,44.63,6562909.0,,,44.63,,,1.0,0.0,AA,XNYS,2022-09-19T00:00:00+0000
73,43.1,43.76,41.61,42.46,11317400.0,,,42.46,,,1.0,0.0,AA,XNYS,2022-09-16T00:00:00+0000
74,44.57,45.54,43.0125,43.14,7138326.0,,,43.14,,,1.0,0.0,AA,XNYS,2022-09-15T00:00:00+0000
75,49.095,49.47,44.03,44.81,13358332.0,,,44.81,,,1.0,0.0,AA,XNYS,2022-09-14T00:00:00+0000
76,50.34,52.44,49.83,50.29,4221814.0,,,50.29,,,1.0,0.0,AA,XNYS,2022-09-13T00:00:00+0000
77,53.4,53.79,51.56,52.34,5282979.0,,,52.34,,,1.0,0.0,AA,XNYS,2022-09-12T00:00:00+0000
78,50.4,53.07,50.27,52.62,7268800.0,,,52.62,,,1.0,0.0,AA,XNYS,2022-09-09T00:00:00+0000
79,47.98,48.94,47.16,48.86,5263642.0,,,48.86,,,1.0,0.0,AA,XNYS,2022-09-08T00:00:00+0000
80,47.02,48.07,46.12,47.66,5207250.0,,,47.66,,,1.0,0.0,AA,XNYS,2022-09-07T00:00:00+0000
81,49.66,50.48,47.455,47.91,6326541.0,,,47.91,,,1.0,0.0,AA,XNYS,2022-09-06T00:00:00+0000
82,49.28,50.35,48.93,49.25,3963100.0,,,49.25,,,1.0,0.0,AA,XNYS,2022-09-02T00:00:00+0000
83,47.695,48.41,46.1,48.08,5969628.0,,,48.08,,,1.0,0.0,AA,XNYS,2022-09-01T00:00:00+0000
