,name,symbol,has_intraday,has_eod,country,acronym,country_code,city
258,US BANCORP DRN,USBC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
259,GOLDMANSACHSDRN,GSGI34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
260,INTUIT INC DRN,INTU34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
261,DUKE ENERGY DRN,DUKB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
262,SP GLOBAL DRN,SPGI34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
263,BOOKING DRN,BKNG34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
264,AUTOMATIC DTDRN,ADPR34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
265,ESTEE LAUDERDRN,ELCI34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
266,ITAUUNIBANCOON N1,ITUB3.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
268,COLGATE DRN,COLG34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
269,CANAD NATIONDRN,CNIC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
270,VERTEX PHARMDRN,VRTX34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
271,MICRON TECHNDRN,MUTC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
272,PNCFNANCIAL DRN,PNCS34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
273,BIOGEN DRN,BIIB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
274,UBER TECH INDRN,U1BE34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
275,NORTHROP GRUDRN,NOCG34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
276,TARGET CORP DRN,TGTB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
277,CSX CORP DRN,CSXC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
278,TAKEDAPH DRN,TAKP34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
279,SCHWAB DRN,SCHW34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
280,JD COM DRN,JDCO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
281,COPHILLIPS DRN,COPH34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
282,VALE ON NM,VALE3.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
284,EQUINIX INC DRN,EQIX34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
285,DEERE CO DRN,DEEC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
286,AMBEV S/A ON,ABEV3F.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
287,AMBEV S/A ON,ABEV3.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
289,BRADESCO ON N1,BBDC3.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
291,MOODYS CORP DRN,MCOR34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
293,GEN DYNAMICSDRN,GDBR34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
294,ACTIVISION DRN,ATVI34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
295,KINDER MORGADRN,KMIC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
296,HONDA MO DRN,HOND34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
297,GENERAL MOT DRN,GMCO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
298,WALGREENS DRN,WGBA34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
299,CAPITAL ONE DRN,CAON34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
300,METLIFE INC DRN,METB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
301,DOLLAR GENERDRN,DGCO34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
302,SIMON PROP DRN,SIMN34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
303,ROSS STORES DRN,ROST34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
304,NETEASE DRN,NETE34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
305,UBS GROUP DRN,UBSG34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
308,FEDEX CORP DRN,FDXB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
309,BNY MELLON DRN,BONY34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
310,COGNIZANT DRN,CTSH34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
311,CONSTELLATIODRN,STZB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
312,DUPONT N INCDRN,DDNB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
313,BAIDU INC DRN,BIDU34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
315,SANTANDER BRUNT,SANB11.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
317,SANTANDER BRON,SANB3.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
318,MERCADOLIBREDRN,MELI34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
319,KRAFT HEINZ DRN,KHCB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
320,HP COMPANY DRN,HPQB34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
323,ELECTR ARTS DRN,EAIN34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
324,TELEFONIC DRN,TLNC34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
325,DELTA DRN,DEAI34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
327,OCCIDENT PTRDRN,OXYP34.BVMF,False,True,Brazil,Bovespa,BR,Sao Paulo
328,ROYAL BANK OF CANADA,RY.XTSE,False,True,Canada,TSX,CA,Toronto
329,TORONTO-DOMINION BANK,TD.XTSE,False,True,Canada,TSX,CA,Toronto
330,ENBRIDGE INC,ENB.XTSE,False,True,Canada,TSX,CA,Toronto
331,CNOOC LIMITED,CNU.XTSE,False,True,Canada,TSX,CA,Toronto
332,BANK OF NOVA SCOTIA,BNS.XTSE,False,True,Canada,TSX,CA,Toronto
334,CANADIAN NATIONAL RAILWAY CO.,CNR.XTSE,False,True,Canada,TSX,CA,Toronto
335,SHOPIFY INC,SHOP.XTSE,False,True,Canada,TSX,CA,Toronto
