"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"USA","United States","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2021W51","26-Dec-21",-1.15842390245671,,
"USA","United States","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2021W51","26-Dec-21",2.30856049696373,,
"IRL","Ireland","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2021W52","02-Jan-22",10.2417843489801,,
"IRL","Ireland","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2021W52","02-Jan-22",4.45667642293191,,
"IRL","Ireland","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2021W52","02-Jan-22",-1.50787390651868,,
"IRL","Ireland","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2021W52","02-Jan-22",6.07609280693336,,
"IRL","Ireland","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2021W52","02-Jan-22",14.3126314301394,,
"IRL","Ireland","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2021W52","02-Jan-22",2.79833495539829,,
"IRL","Ireland","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2021W52","02-Jan-22",5.64254302059578,,
"IRL","Ireland","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2021W52","02-Jan-22",-3.07152289976304,,
"IRL","Ireland","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2021W52","02-Jan-22",-0.389721132882126,,
"IRL","Ireland","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W1","09-Jan-22",12.7226723273952,,
"IRL","Ireland","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W1","09-Jan-22",3.26202426816196,,
"IRL","Ireland","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2022W1","09-Jan-22",-2.63431057571773,,
"IRL","Ireland","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W1","09-Jan-22",8.39997498543027,,
"IRL","Ireland","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W1","09-Jan-22",17.3035292860058,,
"IRL","Ireland","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W1","09-Jan-22",1.37073385606466,,
"IRL","Ireland","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W1","09-Jan-22",6.1783890441266,,
"IRL","Ireland","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2022W1","09-Jan-22",-4.417606963528,,
"IRL","Ireland","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2022W1","09-Jan-22",0.115527702554719,,
"GBR","United Kingdom","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2021W52","02-Jan-22",12.2532349924364,,
"GBR","United Kingdom","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2021W52","02-Jan-22",0.232633403811951,,
"GBR","United Kingdom","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2021W52","02-Jan-22",-2.1538770243619,,
"GBR","United Kingdom","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2021W52","02-Jan-22",11.2020204549071,,
"GBR","United Kingdom","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2021W52","02-Jan-22",13.7984668151683,,
"GBR","United Kingdom","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2021W52","02-Jan-22",-1.73729945507972,,
"GBR","United Kingdom","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2021W52","02-Jan-22",2.50749725537101,,
"GBR","United Kingdom","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2021W52","02-Jan-22",-4.07690634344926,,
"GBR","United Kingdom","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2021W52","02-Jan-22",0.0668229673836507,,
"GBR","United Kingdom","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W1","09-Jan-22",13.8051904176235,,
"GBR","United Kingdom","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W1","09-Jan-22",-0.152652102509378,,
"GBR","United Kingdom","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2022W1","09-Jan-22",-2.5299889926105,,
"GBR","United Kingdom","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W1","09-Jan-22",12.1772989072253,,
"GBR","United Kingdom","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W1","09-Jan-22",15.5007826531315,,
"GBR","United Kingdom","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W1","09-Jan-22",-1.84809610079932,,
"GBR","United Kingdom","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W1","09-Jan-22",3.15477041239753,,
"GBR","United Kingdom","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2022W1","09-Jan-22",-4.18506495261891,,
"GBR","United Kingdom","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2022W1","09-Jan-22",0.698684735058608,,
"USA","United States","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2021W52","02-Jan-22",3.86559714491694,,
"USA","United States","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2021W52","02-Jan-22",1.93849784092121,,
"USA","United States","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2021W52","02-Jan-22",-1.98407397384682,,
"USA","United States","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2021W52","02-Jan-22",1.55880863310191,,
"USA","United States","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2021W52","02-Jan-22",5.31296119456985,,
"USA","United States","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2021W52","02-Jan-22",-0.103295603135151,,
"USA","United States","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2021W52","02-Jan-22",4.10140938710759,,
"USA","United States","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2021W52","02-Jan-22",-3.94729963845904,,
"USA","United States","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2021W52","02-Jan-22",0.0956091939682491,,
"USA","United States","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W1","09-Jan-22",3.683176518931,,
"USA","United States","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W1","09-Jan-22",0.978975580014773,,
"USA","United States","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2022W1","09-Jan-22",-2.90667402130113,,
"USA","United States","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W1","09-Jan-22",1.6378631286653,,
"USA","United States","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W1","09-Jan-22",4.70856293492352,,
"USA","United States","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W1","09-Jan-22",-0.776073456119287,,
"USA","United States","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W1","09-Jan-22",2.14497998803022,,
"USA","United States","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2022W1","09-Jan-22",-4.5941891420991,,
"USA","United States","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2022W1","09-Jan-22",-1.78553721604273,,
"IRL","Ireland","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W2","16-Jan-22",9.42231449170739,,
"IRL","Ireland","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W2","16-Jan-22",2.41502774010435,,
"IRL","Ireland","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2022W2","16-Jan-22",-3.43294300113037,,
"IRL","Ireland","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W2","16-Jan-22",5.94593183943409,,
"IRL","Ireland","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W2","16-Jan-22",14.0069746243386,,
"IRL","Ireland","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W2","16-Jan-22",0.0447898916930053,,
"IRL","Ireland","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W2","16-Jan-22",5.26662909468824,,
"IRL","Ireland","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2022W2","16-Jan-22",-5.66783858685689,,
"IRL","Ireland","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2022W2","16-Jan-22",-0.744170106932107,,
"GBR","United Kingdom","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W2","16-Jan-22",12.0972816474066,,
"GBR","United Kingdom","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W2","16-Jan-22",-1.12860456701886,,
"GBR","United Kingdom","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2022W2","16-Jan-22",-3.48270430715335,,
"GBR","United Kingdom","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W2","16-Jan-22",9.65015932955752,,
"GBR","United Kingdom","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W2","16-Jan-22",13.4598338817908,,
"GBR","United Kingdom","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W2","16-Jan-22",-3.69364839614138,,
"GBR","United Kingdom","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W2","16-Jan-22",1.70961339003979,,
"GBR","United Kingdom","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2022W2","16-Jan-22",-5.98667517391778,,
"GBR","United Kingdom","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2022W2","16-Jan-22",-0.712063510565619,,
"USA","United States","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W2","16-Jan-22",3.55636573849404,,
"USA","United States","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W2","16-Jan-22",0.687924888684509,,
"USA","United States","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2022W2","16-Jan-22",-3.18652514364949,,
"USA","United States","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W2","16-Jan-22",2.25919898827313,,
"USA","United States","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W2","16-Jan-22",4.61374896288237,,
"USA","United States","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W2","16-Jan-22",-2.05656920380015,,
