symbol,Unnamed: 0,name,has_intraday,has_eod,acronym
GILD34.BVMF,239,GILEAD DRN,False,True,Bovespa
QCOM34.BVMF,240,QUALCOMM DRN,False,True,Bovespa
AXPB34.BVMF,241,AMERICAN EXPDRN,False,True,Bovespa
F1NI34.BVMF,242,FIDELITY NATDRN,False,True,Bovespa
MMMC34.BVMF,243,3M DRN,False,True,Bovespa
LOWC34.BVMF,244,LOWES COMPA DRN,False,True,Bovespa
DEOP34.BVMF,245,DIAGEO PL DRN ED,False,True,Bovespa
CVSH34.BVMF,246,CVS HEALTH DRN,False,True,Bovespa
PETR3.BVMF,248,PETROBRAS ON N2,False,True,Bovespa
MDLZ34.BVMF,249,MONDELEZ INTDRN,False,True,Bovespa
UPSS34.BVMF,250,UPS DRN,False,True,Bovespa
MSBR34.BVMF,251,MORGAN STAN DRN,False,True,Bovespa
MOOO34.BVMF,252,ALTRIA GROUPDRN,False,True,Bovespa
SNEC34.BVMF,253,SONY CORP DRN,False,True,Bovespa
RIOT34.BVMF,254,RIO TINTO DRN,False,True,Bovespa
BLAK34.BVMF,255,BLACKROCK DRN,False,True,Bovespa
TJXC34.BVMF,256,TJX COMPANIEDRN,False,True,Bovespa
CHME34.BVMF,257,CME GROUP DRN,False,True,Bovespa
USBC34.BVMF,258,US BANCORP DRN,False,True,Bovespa
GSGI34.BVMF,259,GOLDMANSACHSDRN,False,True,Bovespa
INTU34.BVMF,260,INTUIT INC DRN,False,True,Bovespa
DUKB34.BVMF,261,DUKE ENERGY DRN,False,True,Bovespa
SPGI34.BVMF,262,SP GLOBAL DRN,False,True,Bovespa
BKNG34.BVMF,263,BOOKING DRN,False,True,Bovespa
ADPR34.BVMF,264,AUTOMATIC DTDRN,False,True,Bovespa
ELCI34.BVMF,265,ESTEE LAUDERDRN,False,True,Bovespa
ITUB3.BVMF,266,ITAUUNIBANCOON N1,False,True,Bovespa
COLG34.BVMF,268,COLGATE DRN,False,True,Bovespa
CNIC34.BVMF,269,CANAD NATIONDRN,False,True,Bovespa
VRTX34.BVMF,270,VERTEX PHARMDRN,False,True,Bovespa
