symbol,date,Unnamed: 0,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,exchange
BATS.XLON,2022-06-29 00:00:00+00:00,129,3606.0,3645.0,3585.0,3626.5,2157232.0,,,3626.5,,,1.0,0.0,XLON
BATS.XLON,2022-06-28 00:00:00+00:00,130,3594.5,3640.5,3580.0,3628.0,2254072.0,,,3628.0,,,1.0,0.0,XLON
BATS.XLON,2022-06-27 00:00:00+00:00,131,3538.0,3579.0,3509.5,3571.5,2455322.0,,,3571.5,,,1.0,0.0,XLON
BATS.XLON,2022-06-24 00:00:00+00:00,132,3453.0,3533.5,3428.5,3530.5,3029275.0,,,3530.5,,,1.0,0.0,XLON
BATS.XLON,2022-06-23 00:00:00+00:00,133,3478.5,3481.5,3416.5,3453.0,2857848.0,,,3453.0,,,1.0,0.0,XLON
BATS.XLON,2022-06-22 00:00:00+00:00,134,3502.5,3515.5,3465.0,3479.0,4083106.0,,,3479.0,,,1.0,0.0,XLON
BATS.XLON,2022-06-21 00:00:00+00:00,135,3510.5,3547.0,3483.0,3497.5,2092370.0,,,3497.5,,,1.0,0.0,XLON
BATS.XLON,2022-06-20 00:00:00+00:00,136,3430.5,3540.0,3428.0,3515.5,1786354.0,,,3515.5,,,1.0,0.0,XLON
BATS.XLON,2022-06-17 00:00:00+00:00,137,3467.5,3478.5,3411.0,3435.0,8149527.0,,,3435.0,,,1.0,0.0,XLON
BATS.XLON,2022-06-16 00:00:00+00:00,138,3531.5,3544.2104,3419.5,3440.0,3800579.0,,,3440.0,,,1.0,0.0,XLON
BATS.XLON,2022-06-15 00:00:00+00:00,139,3533.5,3601.0,3520.5,3563.5,4193616.0,,,3563.5,,,1.0,0.0,XLON
BATS.XLON,2022-06-14 00:00:00+00:00,140,3470.5,3516.5,3458.354,3504.5,2817299.0,,,3504.5,,,1.0,0.0,XLON
BATS.XLON,2022-06-13 00:00:00+00:00,141,3489.0,3499.5,3406.8689,3470.5,4045111.0,,,3470.5,,,1.0,0.0,XLON
BATS.XLON,2022-06-10 00:00:00+00:00,142,3478.5,3502.0,3457.0,3493.0,3255549.0,,,3493.0,,,1.0,0.0,XLON
BATS.XLON,2022-06-09 00:00:00+00:00,143,3575.0,3607.0,3492.5,3496.0,4503941.0,,,3496.0,,,1.0,0.0,XLON
BATS.XLON,2022-06-08 00:00:00+00:00,144,3554.0,3612.97,3554.0,3566.5,3110440.0,,,3566.5,,,1.0,0.0,XLON
BATS.XLON,2022-06-07 00:00:00+00:00,145,3547.0,3607.5,3535.5,3566.0,2228537.0,,,3566.0,,,1.0,0.0,XLON
BATS.XLON,2022-06-06 00:00:00+00:00,146,3515.5,3560.0,3513.02,3532.5,2043751.0,,,3532.5,,,1.0,0.0,XLON
BATS.XLON,2022-06-01 00:00:00+00:00,147,3521.0,3578.7898,3520.5,3536.5,2498458.0,,,3536.5,,,1.0,0.0,XLON
BATS.XLON,2022-05-31 00:00:00+00:00,148,3460.0,3539.5,3460.0,3502.0,4966428.0,,,3502.0,,,1.0,0.0,XLON
BATS.XLON,2022-05-30 00:00:00+00:00,149,3543.5,3553.0,3444.5,3456.0,2770646.0,,,3456.0,,,1.0,0.0,XLON
BATS.XLON,2022-05-27 00:00:00+00:00,150,3558.5,3577.0,3540.0,3550.5,2227860.0,,,3550.5,,,1.0,0.0,XLON
BATS.XLON,2022-05-26 00:00:00+00:00,151,3573.0,3598.5,3559.5,3564.5,2244825.0,,,3564.5,,,1.0,0.0,XLON
BATS.XLON,2022-05-25 00:00:00+00:00,152,3500.0,3601.0,3496.5,3580.5,2809665.0,,,3580.5,,,1.0,0.0,XLON
BATS.XLON,2022-05-24 00:00:00+00:00,153,3461.0,3498.0,3453.5,3488.5,4225730.0,,,3488.5,,,1.0,0.0,XLON
BATS.XLON,2022-05-23 00:00:00+00:00,154,3439.5,3496.0,3422.5046,3495.0,2303001.0,,,3495.0,,,1.0,0.0,XLON
BATS.XLON,2022-05-20 00:00:00+00:00,155,3432.5,3465.0,3430.0,3430.5,2606610.0,,,3430.5,,,1.0,0.0,XLON
BATS.XLON,2022-05-19 00:00:00+00:00,156,3458.5,3485.0,3395.6951,3432.5,3374967.0,,,3432.5,,,1.0,0.0,XLON
BATS.XLON,2022-05-18 00:00:00+00:00,157,3502.0,3517.72,3477.0,3478.0,3042580.0,,,3478.0,,,1.0,0.0,XLON
BATS.XLON,2022-05-17 00:00:00+00:00,158,3470.0,3523.0,3462.0,3502.0,5633388.0,,,3502.0,,,1.0,0.0,XLON
BATS.XLON,2022-05-16 00:00:00+00:00,159,3445.5,3460.5,3404.0,3458.0,4187435.0,,,3458.0,,,1.0,0.0,XLON
BATS.XLON,2022-05-13 00:00:00+00:00,160,3359.0,3434.5,3348.0,3429.0,2248389.0,,,3429.0,,,1.0,0.0,XLON
BATS.XLON,2022-05-12 00:00:00+00:00,161,3327.0,3378.0,3289.0,3336.5,2862326.0,,,3336.5,,,1.0,0.0,XLON
BATS.XLON,2022-05-11 00:00:00+00:00,162,3333.5,3372.5,3314.5,3364.0,4336485.0,,,3364.0,,,1.0,0.0,XLON
BATS.XLON,2022-05-10 00:00:00+00:00,163,3295.5,3358.0,3278.5,3306.5,5369935.0,,,3306.5,,,1.0,0.0,XLON
BATS.XLON,2022-05-09 00:00:00+00:00,164,3320.5,3349.0,3285.5,3302.0,2937895.0,,,3302.0,,,1.0,0.0,XLON
BATS.XLON,2022-05-06 00:00:00+00:00,165,3338.0,3347.5,3286.0,3300.0,3742543.0,,,3300.0,,,1.0,0.0,XLON
BATS.XLON,2022-05-05 00:00:00+00:00,166,3340.5,3370.5,3303.0,3347.5,7228362.0,,,3347.5,,,1.0,0.0,XLON
BATS.XLON,2022-05-04 00:00:00+00:00,167,3328.5,3375.0,3321.075,3327.5,2968328.0,,,3327.5,,,1.0,0.0,XLON
BATS.XLON,2022-05-03 00:00:00+00:00,168,3338.0,3346.0,3284.0,3346.0,4846602.0,,,3346.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-29 00:00:00+00:00,169,3334.0,3363.5,3329.5,3352.0,2992610.0,,,3352.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-28 00:00:00+00:00,170,3340.5,3350.0,3268.5,3330.0,3107083.0,,,3330.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-27 00:00:00+00:00,171,3287.5,3335.0,3263.5,3329.0,4519345.0,,,3329.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-26 00:00:00+00:00,172,3318.0,3325.5,3294.5,3295.5,3431383.0,,,3295.5,,,1.0,0.0,XLON
BATS.XLON,2022-04-25 00:00:00+00:00,173,3319.5,3327.5,3214.5,3277.0,3481247.0,,,3277.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-22 00:00:00+00:00,174,3346.5,3398.0,3333.0,3339.5,3778278.0,,,3339.5,,,1.0,0.0,XLON
BATS.XLON,2022-04-21 00:00:00+00:00,175,3342.5,3345.0,3283.0,3344.5,3157229.0,,,3344.5,,,1.0,0.0,XLON
BATS.XLON,2022-04-20 00:00:00+00:00,176,3287.0,3320.0,3271.0,3314.0,9603489.0,,,3314.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-19 00:00:00+00:00,177,3287.0,3293.5,3252.0,3277.0,2508575.0,,,3277.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-14 00:00:00+00:00,178,3251.0,3274.0,3222.5,3262.0,4022987.0,,,3262.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-13 00:00:00+00:00,179,3273.5,3277.6038,3255.5,3263.5,2785054.0,,,3263.5,,,1.0,0.0,XLON
BATS.XLON,2022-04-12 00:00:00+00:00,180,3264.5,3278.0,3247.7378,3270.0,2645433.0,,,3270.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-11 00:00:00+00:00,181,3297.0,3302.5,3262.0,3282.0,3770653.0,,,3282.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-08 00:00:00+00:00,182,3250.0,3291.5,3236.0,3291.0,4117119.0,,,3291.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-07 00:00:00+00:00,183,3284.5,3295.5,3229.5,3232.5,2406671.0,,,3232.5,,,1.0,0.0,XLON
BATS.XLON,2022-04-06 00:00:00+00:00,184,3215.5,3305.0,3211.5,3305.0,5629451.0,,,3305.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-05 00:00:00+00:00,185,3239.5,3255.8579,3133.5,3228.5,4277032.0,,,3228.5,,,1.0,0.0,XLON
BATS.XLON,2022-04-04 00:00:00+00:00,186,3239.5,3259.5,3207.5,3239.0,2461648.0,,,3239.0,,,1.0,0.0,XLON
BATS.XLON,2022-04-01 00:00:00+00:00,187,3224.0,3234.5,3202.0,3226.0,2379941.0,,,3226.0,,,1.0,0.0,XLON
BATS.XLON,2022-03-31 00:00:00+00:00,188,3258.0,3259.2622,3194.5,3194.5,3133511.0,,,3194.5,,,1.0,0.0,XLON
BATS.XLON,2022-03-30 00:00:00+00:00,189,3223.5,3263.0,3203.0,3242.0,3690349.0,,,3242.0,,,1.0,0.0,XLON
BATS.XLON,2022-03-29 00:00:00+00:00,190,3295.5,3307.5,3205.0,3219.0,6315363.0,,,3219.0,,,1.0,0.0,XLON
BATS.XLON,2022-03-28 00:00:00+00:00,191,3269.0,3341.0,3269.0,3299.0,2969915.0,,,3299.0,,,1.0,0.0,XLON
BATS.XLON,2022-03-25 00:00:00+00:00,192,3246.5,3305.0,3241.0,3300.0,5686242.0,,,3300.0,,,1.0,0.0,XLON
BATS.XLON,2022-03-24 00:00:00+00:00,193,3206.0,3262.551,3183.0,3262.0,3674847.0,,,3262.0,,,1.0,0.0,XLON
BATS.XLON,2022-03-23 00:00:00+00:00,194,3201.0,3225.0,3183.5,3191.0,2638772.0,,,3191.0,,,1.0,0.0,XLON
BATS.XLON,2022-03-22 00:00:00+00:00,195,3190.0,3244.0,3180.0,3201.0,3164059.0,,,3201.0,,,1.0,0.0,XLON
BATS.XLON,2022-03-21 00:00:00+00:00,196,3166.5,3201.5,3163.743,3164.0,2537315.0,,,3164.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-30 00:00:00+00:00,0,3637.5,3659.5,3636.5825,3650.0,1215998.0,,,3650.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-29 00:00:00+00:00,1,3654.0,3674.0,3608.0,3668.0,1664894.0,,,3668.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-28 00:00:00+00:00,2,3684.5,3689.0,3657.0,3668.5,2702542.0,,,3668.5,,,1.0,0.0,XLON
DGE.XLON,2022-12-27 00:00:00+00:00,3,3647.5,3647.5,3647.5,3647.5,3825.0,,,3647.5,,,1.0,0.0,XLON
DGE.XLON,2022-12-23 00:00:00+00:00,4,3672.0,3675.856,3635.0,3647.5,3210422.0,,,3647.5,,,1.0,0.0,XLON
DGE.XLON,2022-12-22 00:00:00+00:00,5,3689.5,3709.0,3663.0,3663.0,1964880.0,,,3663.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-21 00:00:00+00:00,6,3641.5,3701.5,3627.0,3693.0,4260178.0,,,3693.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-20 00:00:00+00:00,7,3624.0,3659.0,3615.0,3629.5,6544322.0,,,3629.5,,,1.0,0.0,XLON
DGE.XLON,2022-12-19 00:00:00+00:00,8,3630.5,3662.0,3602.7151,3636.0,2894890.0,,,3636.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-16 00:00:00+00:00,9,3674.0,3690.0,3589.0,3624.0,7212697.0,,,3624.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-15 00:00:00+00:00,10,3764.0,3770.5,3667.0,3675.5,3203503.0,,,3675.5,,,1.0,0.0,XLON
DGE.XLON,2022-12-14 00:00:00+00:00,11,3740.0,3766.5,3699.5,3764.5,2828898.0,,,3764.5,,,1.0,0.0,XLON
DGE.XLON,2022-12-13 00:00:00+00:00,12,3719.5,3778.5,3695.5,3759.5,3834987.0,,,3759.5,,,1.0,0.0,XLON
DGE.XLON,2022-12-12 00:00:00+00:00,13,3729.5,3750.5,3714.4897,3728.5,3473152.0,,,3728.5,,,1.0,0.0,XLON
DGE.XLON,2022-12-09 00:00:00+00:00,14,3774.0,3781.5,3725.5,3743.0,2868130.0,,,3743.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-08 00:00:00+00:00,15,3827.0,3827.0,3718.0,3776.0,2532316.0,,,3776.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-07 00:00:00+00:00,16,3820.0,3853.0,3812.0,3819.0,2456794.0,,,3819.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-06 00:00:00+00:00,17,3839.0,3860.5,3825.0,3827.0,2257721.0,,,3827.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-05 00:00:00+00:00,18,3850.0,3854.8875,3797.0,3821.5,1435507.0,,,3821.5,,,1.0,0.0,XLON
DGE.XLON,2022-12-02 00:00:00+00:00,19,3851.5,3855.5,3812.5,3847.0,2170377.0,,,3847.0,,,1.0,0.0,XLON
DGE.XLON,2022-12-01 00:00:00+00:00,20,3838.5,3881.5,3826.5,3846.0,1965317.0,,,3846.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-30 00:00:00+00:00,21,3802.0,3833.0,3774.5,3808.0,6072657.0,,,3808.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-29 00:00:00+00:00,22,3779.5,3812.5,3763.5,3768.0,1931271.0,,,3768.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-28 00:00:00+00:00,23,3750.0,3806.0,3739.0,3786.0,1535883.0,,,3786.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-25 00:00:00+00:00,24,3734.0,3796.5,3728.0,3762.5,4559630.0,,,3762.5,,,1.0,0.0,XLON
DGE.XLON,2022-11-24 00:00:00+00:00,25,3746.5,3766.843,3713.0,3749.0,1421710.0,,,3749.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-23 00:00:00+00:00,26,3745.5,3769.73,3735.5,3757.0,1548813.0,,,3757.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-22 00:00:00+00:00,27,3724.5,3762.425,3717.0,3745.5,2220925.0,,,3745.5,,,1.0,0.0,XLON
DGE.XLON,2022-11-21 00:00:00+00:00,28,3685.0,3740.5,3669.5,3726.0,1916825.0,,,3726.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-18 00:00:00+00:00,29,3647.0,3685.0,3637.5,3674.0,2376197.0,,,3674.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-17 00:00:00+00:00,30,3657.5,3667.0,3630.0,3652.5,1873220.0,,,3652.5,,,1.0,0.0,XLON
DGE.XLON,2022-11-16 00:00:00+00:00,31,3611.0,3655.5,3594.0,3645.5,2145651.0,,,3645.5,,,1.0,0.0,XLON
DGE.XLON,2022-11-15 00:00:00+00:00,32,3643.5,3692.0,3601.51,3614.0,2313061.0,,,3614.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-14 00:00:00+00:00,33,3628.0,3721.5,3608.5,3659.0,4877856.0,,,3659.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-11 00:00:00+00:00,34,3721.5,3729.5,3592.5,3619.0,8250200.0,,,3619.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-10 00:00:00+00:00,35,3608.0,3733.5,3608.0,3722.5,2393560.0,,,3722.5,,,1.0,0.0,XLON
DGE.XLON,2022-11-09 00:00:00+00:00,36,3602.5,3629.0,3580.5,3624.5,2265446.0,,,3624.5,,,1.0,0.0,XLON
DGE.XLON,2022-11-08 00:00:00+00:00,37,3635.5,3652.5,3611.5,3634.0,4410562.0,,,3634.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-07 00:00:00+00:00,38,3691.0,3696.0,3636.0,3645.0,1722141.0,,,3645.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-04 00:00:00+00:00,39,3606.5,3729.0,3590.0,3688.0,2811306.0,,,3688.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-03 00:00:00+00:00,40,3580.0,3612.5,3553.5,3595.0,1980830.0,,,3595.0,,,1.0,0.0,XLON
DGE.XLON,2022-11-02 00:00:00+00:00,41,3614.5,3640.5,3595.0,3602.5,2530061.0,,,3602.5,,,1.0,0.0,XLON
DGE.XLON,2022-11-01 00:00:00+00:00,42,3629.5,3665.0,3604.0,3611.0,1910459.0,,,3611.0,,,1.0,0.0,XLON
DGE.XLON,2022-10-31 00:00:00+00:00,43,3555.5,3605.5,3551.0,3598.0,1863529.0,,,3598.0,,,1.0,0.0,XLON
DGE.XLON,2022-10-28 00:00:00+00:00,44,3524.5,3554.0,3488.0,3554.0,1395843.0,,,3554.0,,,1.0,0.0,XLON
DGE.XLON,2022-10-27 00:00:00+00:00,45,3575.0,3604.1243,3521.5,3522.0,2974631.0,,,3522.0,,,1.0,0.0,XLON
